[INFO ] [2022-06-01 10:47:28,863] Register - Step 01: Navigate to 'Register' page
[2022-06-01 11:13:56,161] Register - Step 08: Verify register success message is displayed
[2022-06-01 11:13:57,083] Login - Step 01: Navigate to 'Login' page
[2022-06-01 11:20:29,741] Register - Step 01: Navigate to 'Register' page
[2022-06-01 11:20:31,405] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 11:20:31,549] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 11:20:31,666] Register - Step 04: Enter to Email textbox with value is 'afc7438@mail.vn'
[2022-06-01 11:20:31,789] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 11:20:31,885] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 11:20:32,013] Register - Step 07: Click to 'Register' button
[2022-06-01 11:20:33,614] Register - Step 08: Verify register success message is displayed
[2022-06-01 11:20:33,697] Register - Step 09: Click to Logout link
[2022-06-01 11:20:34,987] Login - Step 01: Navigate to 'Login' page
[2022-06-01 11:20:35,716] Login - Step 02: Enter to Email textbox with value is 'afc7438@mail.vn'
[2022-06-01 11:20:35,803] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 11:20:35,914] Login - Step 04: Click to 'Login' button
[2022-06-01 11:20:37,665] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 11:20:37,749] Login - Step 06: Navigate to 'My Account' Page
[2022-06-01 11:20:39,907] Login - Step 07: Verify 'Customer Infor' Page is displayed
[2022-06-01 11:25:43,775] Register - Step 01: Navigate to 'Register' page
[2022-06-01 11:25:45,262] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 11:25:45,390] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 11:25:45,472] Register - Step 04: Enter to Email textbox with value is 'afc940@mail.vn'
[2022-06-01 11:25:45,576] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 11:25:45,674] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 11:25:45,798] Register - Step 07: Click to 'Register' button
[2022-06-01 11:25:46,896] Register - Step 08: Verify register success message is displayed
[2022-06-01 11:25:46,945]  -------------------------- FAILED -------------------------- 
[2022-06-01 11:25:46,945] Register - Step 09: Click to Logout link
[2022-06-01 11:25:47,722] Login - Step 01: Navigate to 'Login' page
[2022-06-01 11:25:48,657] Login - Step 02: Enter to Email textbox with value is 'afc940@mail.vn'
[2022-06-01 11:25:48,764] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 11:25:48,873] Login - Step 04: Click to 'Login' button
[2022-06-01 11:25:49,684] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 11:25:49,759] Login - Step 06: Navigate to 'My Account' Page
[2022-06-01 11:25:51,198] Login - Step 07: Verify 'Customer Infor' Page is displayed
[2022-06-01 11:39:28,086] Register - Step 01: Navigate to 'Register' page
[2022-06-01 11:39:29,338] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 11:39:29,469] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 11:39:29,570] Register - Step 04: Enter to Email textbox with value is 'afc2283@mail.vn'
[2022-06-01 11:39:29,702] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 11:39:29,803] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 11:39:29,920] Register - Step 07: Click to 'Register' button
[2022-06-01 11:39:31,552] Register - Step 08: Verify register success message is displayed
[2022-06-01 11:39:31,609]  -------------------------- FAILED -------------------------- 
[2022-06-01 11:39:31,611] Register - Step 09: Click to Logout link
[2022-06-01 11:39:32,472] Login - Step 01: Navigate to 'Login' page
[2022-06-01 11:39:33,450] Login - Step 02: Enter to Email textbox with value is 'afc2283@mail.vn'
[2022-06-01 11:39:33,537] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 11:39:33,635] Login - Step 04: Click to 'Login' button
[2022-06-01 11:39:34,490] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 11:39:34,587] Login - Step 06: Navigate to 'My Account' Page
[2022-06-01 11:39:35,908] Login - Step 07: Verify 'Customer Infor' Page is displayed
[2022-06-01 11:39:48,287] Register - Step 01: Navigate to 'Register' page
[2022-06-01 11:39:49,584] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 11:39:49,746] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 11:39:49,882] Register - Step 04: Enter to Email textbox with value is 'afc5996@mail.vn'
[2022-06-01 11:39:50,040] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 11:39:50,189] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 11:39:50,357] Register - Step 07: Click to 'Register' button
[2022-06-01 11:39:51,806] Register - Step 08: Verify register success message is displayed
[2022-06-01 11:39:51,869]  -------------------------- FAILED -------------------------- 
[2022-06-01 11:39:51,870] Register - Step 09: Click to Logout link
[2022-06-01 11:39:52,793] Login - Step 01: Navigate to 'Login' page
[2022-06-01 11:39:53,653] Login - Step 02: Enter to Email textbox with value is 'afc5996@mail.vn'
[2022-06-01 11:39:53,818] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 11:39:53,979] Login - Step 04: Click to 'Login' button
[2022-06-01 11:39:54,842] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 11:39:54,928] Login - Step 06: Navigate to 'My Account' Page
[2022-06-01 11:39:55,875] Login - Step 07: Verify 'Customer Infor' Page is displayed
[2022-06-01 13:36:38,287] Register - Step 01: Navigate to 'Register' page
[2022-06-01 13:36:39,374] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 13:36:39,492] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 13:36:39,604] Register - Step 04: Enter to Email textbox with value is 'afc6715@mail.vn'
[2022-06-01 13:36:39,726] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 13:36:39,841] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 13:36:39,925] Register - Step 07: Click to 'Register' button
[2022-06-01 13:36:43,887] Register - Step 08: Verify register success message is displayed
[2022-06-01 13:36:43,951]  -------------------------- FAILED -------------------------- 
[2022-06-01 13:36:43,952] Register - Step 09: Click to Logout link
[2022-06-01 13:36:44,776] Login - Step 01: Navigate to 'Login' page
[2022-06-01 13:36:45,637] Login - Step 02: Enter to Email textbox with value is 'afc6715@mail.vn'
[2022-06-01 13:36:45,746] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 13:36:45,846] Login - Step 04: Click to 'Login' button
[2022-06-01 13:36:46,680] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 13:45:18,445] Register - Step 01: Navigate to 'Register' page
[2022-06-01 13:45:19,769] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 13:45:19,903] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 13:45:20,021] Register - Step 04: Enter to Email textbox with value is 'afc6759@mail.vn'
[2022-06-01 13:45:20,195] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 13:45:20,292] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 13:45:20,423] Register - Step 07: Click to 'Register' button
[2022-06-01 13:45:21,577] Register - Step 08: Verify register success message is displayed
[2022-06-01 13:45:21,657]  -------------------------- FAILED -------------------------- 
[2022-06-01 13:45:21,658] Register - Step 09: Click to Logout link
[2022-06-01 13:45:22,487] Login - Step 01: Navigate to 'Login' page
[2022-06-01 13:45:23,234] Login - Step 02: Enter to Email textbox with value is 'afc6759@mail.vn'
[2022-06-01 13:45:23,328] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 13:45:23,441] Login - Step 04: Click to 'Login' button
[2022-06-01 13:45:24,236] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 14:21:53,793] Register - Step 01: Navigate to 'Register' page
[2022-06-01 14:21:54,541] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 14:21:54,699] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 14:21:54,850] Register - Step 04: Enter to Email textbox with value is 'afc3243@mail.vn'
[2022-06-01 14:21:54,996] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 14:21:55,146] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 14:21:55,267] Register - Step 07: Click to 'Register' button
[2022-06-01 14:21:56,309] Register - Step 08: Verify register success message is displayed
[2022-06-01 14:21:56,415]  -------------------------- FAILED -------------------------- 
[2022-06-01 14:21:56,416] Register - Step 09: Click to Logout link
[2022-06-01 14:21:57,566] Login - Step 01: Navigate to 'Login' page
[2022-06-01 14:21:58,263] Login - Step 02: Enter to Email textbox with value is 'afc3243@mail.vn'
[2022-06-01 14:21:58,408] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 14:21:58,556] Login - Step 04: Click to 'Login' button
[2022-06-01 14:21:59,389] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-01 14:21:59,470]  -------------------------- FAILED -------------------------- 
[2022-06-01 14:21:59,470] Login - Step 06: Navigate to 'My Account' Page
[2022-06-01 14:22:00,624] Login - Step 07: Verify 'Customer Infor' Page is displayed
[2022-06-01 14:22:00,738]  -------------------------- FAILED -------------------------- 
[2022-06-01 14:30:39,310] Register - Step 01: Navigate to 'Register' page
[2022-06-01 14:30:40,487] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 14:30:40,668] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 14:30:40,809] Register - Step 04: Enter to Email textbox with value is 'afc1123@mail.vn'
[2022-06-01 14:30:40,954] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 14:30:41,086] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 14:30:41,240] Register - Step 07: Click to 'Register' button
[2022-06-01 14:30:43,676] Register - Step 08: Verify register success message is displayed
[2022-06-01 14:30:43,884] Login - Step 01: Navigate to 'Login' page
[2022-06-01 14:39:03,308] Register - Step 01: Navigate to 'Register' page
[2022-06-01 14:39:04,023] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 14:39:04,179] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 14:39:04,329] Register - Step 04: Enter to Email textbox with value is 'afc2997@mail.vn'
[2022-06-01 14:39:04,484] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 14:39:04,621] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 14:39:04,760] Register - Step 07: Click to 'Register' button
[2022-06-01 14:39:05,730] Register - Step 08: Verify register success message is displayed
[2022-06-01 14:39:05,943] Login - Step 01: Navigate to 'Login' page
[2022-06-01 15:10:50,623] Register - Step 01: Navigate to 'Register' page
[2022-06-01 15:10:51,582] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-01 15:10:51,748] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-01 15:10:51,882] Register - Step 04: Enter to Email textbox with value is 'afc2521@mail.vn'
[2022-06-01 15:10:52,039] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-01 15:10:52,179] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-01 15:10:52,325] Register - Step 07: Click to 'Register' button
[2022-06-01 15:10:54,797] Register - Step 08: Verify register success message is displayed
[2022-06-01 15:10:54,871] Login - Step 01: Navigate to 'Login' page
[2022-06-01 15:10:56,864] Login - Step 02: Enter to Email textbox with value is 'afc2521@mail.vn'
[2022-06-01 15:10:57,048] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-01 15:10:57,208] Login - Step 04: Click to 'Login' button
[2022-06-01 15:10:58,102] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-03 10:12:09,766] Login - Step 01: Navigate to 'Login' page
[2022-06-03 10:12:10,669] Login - Step 02: Enter to Email textbox with value is 'afc9431@mail.vn'
[2022-06-03 10:12:10,872] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-03 10:12:11,041] Login - Step 04: Click to 'Login' button
[2022-06-03 10:28:55,196] Login - Step 01: Navigate to 'Login' page
[2022-06-03 10:28:55,891] Login - Step 02: Enter to Email textbox with value is 'afc327@mail.vn'
[2022-06-03 10:28:56,093] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-03 10:28:56,277] Login - Step 04: Click to 'Login' button
[2022-06-03 11:07:34,934] Pre-condition - Step 01: Navigate to 'Login' page
[2022-06-03 11:07:35,976] Pre-condition - Step 02: Set cookie and reload page
[2022-06-03 11:07:39,083] Pre-condition - Step 03: Verify 'My Account' Link is displayed
[2022-06-03 11:08:33,225] Pre-condition - Step 01: Navigate to 'Login' page
[2022-06-03 11:08:34,483] Pre-condition - Step 02: Set cookie and reload page
[2022-06-03 11:08:37,583] Pre-condition - Step 03: Verify 'My Account' Link is displayed
[2022-06-03 11:08:39,075]  -------------------------- PASSED -------------------------- 
[2022-06-03 14:22:49,047] Pre-condition - Step 01: Navigate to 'Register' page
[2022-06-03 14:22:49,908] Pre-condition - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-03 14:22:50,101] Pre-condition - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-03 14:22:50,230] Pre-condition - Step 04: Enter to Email textbox with value is 'afc5214@mail.vn'
[2022-06-03 14:22:50,393] Pre-condition - Step 05: Enter to Password textbox with value is '123456'
[2022-06-03 14:22:50,525] Pre-condition - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-03 14:22:50,677] Pre-condition - Step 07: Click to 'Register' button
[2022-06-03 14:22:51,846] Pre-condition - Step 08: Verify register success message is displayed
[2022-06-03 14:22:51,926] Pre-condition - Step 09: Click to Logout link
[2022-06-03 14:23:23,094] Pre-condition - Step 01: Navigate to 'Register' page
[2022-06-03 14:23:25,886] Pre-condition - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-03 14:23:26,030] Pre-condition - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-03 14:23:26,172] Pre-condition - Step 04: Enter to Email textbox with value is 'afc5667@mail.vn'
[2022-06-03 14:23:26,382] Pre-condition - Step 05: Enter to Password textbox with value is '123456'
[2022-06-03 14:23:26,519] Pre-condition - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-03 14:23:26,651] Pre-condition - Step 07: Click to 'Register' button
[2022-06-03 14:23:27,762] Pre-condition - Step 08: Verify register success message is displayed
[2022-06-03 14:36:52,283] Pre-condition - Step 01: Navigate to 'Register' page
[2022-06-03 14:36:54,525] Pre-condition - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-03 14:36:54,693] Pre-condition - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-03 14:36:54,824] Pre-condition - Step 04: Enter to Email textbox with value is 'afc8707@mail.vn'
[2022-06-03 14:36:54,996] Pre-condition - Step 05: Enter to Password textbox with value is '123456'
[2022-06-03 14:36:55,173] Pre-condition - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-03 14:36:55,308] Pre-condition - Step 07: Click to 'Register' button
[2022-06-03 14:36:56,636] Pre-condition - Step 08: Verify register success message is displayed
[2022-06-03 15:01:45,307] Pre-condition - Step 01: Navigate to 'Register' page
[2022-06-03 15:01:46,462] Pre-condition - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-03 15:01:46,625] Pre-condition - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-03 15:01:46,768] Pre-condition - Step 04: Enter to Email textbox with value is 'afc7788@mail.vn'
[2022-06-03 15:01:46,918] Pre-condition - Step 05: Enter to Password textbox with value is '123456'
[2022-06-03 15:01:47,089] Pre-condition - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-03 15:01:47,242] Pre-condition - Step 07: Click to 'Register' button
[2022-06-03 15:01:48,262] Pre-condition - Step 08: Verify register success message is displayed
[2022-06-03 15:01:48,575] OS name = windows 10
[2022-06-03 15:01:48,576] Driver instance name = chromedriver: chrome on windows (073f1c4617ef04aa42843b14cc831cf2)
[2022-06-04 10:57:43,070] Register - Step 01: Navigate to 'Register' page
[2022-06-04 10:57:43,826] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-04 10:57:44,030] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-04 10:58:14,338] Login - Step 01: Navigate to 'Login' page
[2022-06-04 10:58:44,517] OS name = windows 10
[2022-06-04 10:58:44,517] Driver instance name = chromedriver: chrome on windows (695165e043b8f6e3832adaf7e3c97308)
[2022-06-04 10:59:10,263] Register - Step 01: Navigate to 'Register' page
[2022-06-04 10:59:11,033] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-04 10:59:11,241] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-04 10:59:11,419] Register - Step 04: Enter to Email textbox with value is 'afc1727@mail.vn'
[2022-06-04 10:59:11,617] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-04 10:59:11,776] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-04 10:59:11,951] Register - Step 07: Click to 'Register' button
[2022-06-04 10:59:15,360] Register - Step 08: Verify register success message is displayed
[2022-06-04 10:59:15,663] Login - Step 01: Navigate to 'Login' page
[2022-06-04 10:59:17,472] Login - Step 02: Enter to Email textbox with value is 'afc1727@mail.vn'
[2022-06-04 10:59:17,614] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-04 10:59:17,788] Login - Step 04: Click to 'Login' button
[2022-06-04 10:59:18,654] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-04 10:59:19,025] OS name = windows 10
[2022-06-04 10:59:19,025] Driver instance name = chromedriver: chrome on windows (d4acd373347aab16171e16e0eb43b6be)
[2022-06-04 11:42:13,673] Register - Step 01: Navigate to 'Register' page
[2022-06-04 11:42:16,140] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-04 11:42:16,343] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-04 11:42:17,059] Register - Step 04: Enter to Email textbox with value is 'afc8526@mail.vn'
[2022-06-04 11:42:17,335] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-04 11:42:17,520] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-04 11:42:22,723] Register - Step 07: Click to 'Register' button
[2022-06-04 11:42:25,479] Register - Step 08: Verify register success message is displayed
[2022-06-04 11:42:25,805] Login - Step 01: Navigate to 'Login' page
[2022-06-04 11:42:29,136] Login - Step 02: Enter to Email textbox with value is 'afc8526@mail.vn'
[2022-06-04 11:42:29,315] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-04 11:42:29,488] Login - Step 04: Click to 'Login' button
[2022-06-04 11:42:31,611] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-04 11:42:31,980] OS name = windows 10
[2022-06-04 11:42:31,980] Driver instance name = chromedriver: chrome on windows (f0a0bad8a0070ac9e5a2f33433f11a5e)
[2022-06-04 12:02:59,134] Register - Step 01: Navigate to 'Register' page
[2022-06-04 12:03:00,016] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-06-04 12:03:00,196] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-06-04 12:03:00,788] Register - Step 04: Enter to Email textbox with value is 'afc8014@mail.vn'
[2022-06-04 12:03:00,993] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-06-04 12:03:01,129] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-06-04 12:03:01,253] Register - Step 07: Click to 'Register' button
[2022-06-04 12:03:02,331] Register - Step 08: Verify register success message is displayed
[2022-06-04 12:03:02,499] Login - Step 01: Navigate to 'Login' page
[2022-06-04 12:03:04,028] Login - Step 02: Enter to Email textbox with value is 'afc8014@mail.vn'
[2022-06-04 12:03:04,184] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-06-04 12:03:04,312] Login - Step 04: Click to 'Login' button
[2022-06-04 12:03:05,128] Login - Step 05: Verify 'My Account' Link is displayed
[2022-06-04 12:03:05,234] My Account - Step 01: Navigate to 'My Account' Page
[2022-06-04 12:03:07,661] My Account - Step 02: Verify 'Customer Infor' Page is displayed
[2022-06-04 12:03:07,769] My Account - Step 03: Verify 'First Name' value is correctly
[2022-06-04 12:03:07,888] My Account - Step 04: Verify 'Last Name' value is correctly
[2022-06-04 12:03:07,949] My Account - Step 05: Verify 'Email' value is correctly
[2022-06-04 12:03:08,018] OS name = windows 10
[2022-06-04 12:03:08,018] Driver instance name = chromedriver: chrome on windows (e883b0a1ae66d0896823bd359d78277c)
[2022-06-11 09:32:01,372] Pre-Condition - Step 01: Open browser and admin Url
[2022-06-11 09:32:08,934] Pre-Condition - Step 02: Enter to Username textbox with value: automationfc
[2022-06-11 09:32:09,197] Pre-Condition - Step 03: Enter to Password textbox: automationfc
[2022-06-11 09:32:09,308] Pre-Condition - Step 04: Click to Login button
[2022-06-11 09:32:12,063] Create_Post - Step 01: Click to 'Posts' menu link
[2022-06-11 09:32:13,688] Create_Post - Step 02: Get 'Search Posts' Page Url
[2022-06-11 09:32:13,697] Create_Post - Step 03: Click to 'Add New' button
[2022-06-11 09:32:16,266] Create_Post - Step 04: Enter to post title
[2022-06-11 09:32:19,161] Create_Post - Step 05: Enter to body
[2022-06-11 09:32:20,508] Create_Post - Step 06: Click to Publish button
[2022-06-11 09:32:21,020] Create_Post - Step 07: Click to Pre-Publish button
[2022-06-11 09:32:21,382] Create_Post - Step 08: Verify 'Post published' message is displayed
[2022-06-11 09:32:22,456]  -------------------------- PASSED -------------------------- 
